scr_selcode,sub_id3,sub_name,scr_credit,scj_scr_mso,scr_examid,scr_examfn,scr_exambf,cls_name,scr_precnt,scr_acptcnt,scr_remarks,unt_ls,cls_id,sub_id,scr_dup,scr_ldl,scr_english
1038,COE213,工程數學(二),3.0,必修,否,否,否,機電二乙,70.0,70.0, ,4001,CE04122,02280,001,課堂教學,N
1039,MCAE210,工程材料學(二),1.0,必修,否,否,否,機電二乙,70.0,70.0, ,4001,CE04122,04103,001,課堂教學,N
1040,MCAE212,工程材料學實驗,1.0,必修,否,否,否,機電二乙,70.0,68.0, ,4001,CE04122,04104,001,課堂教學,N
1041,COE202,材料力學(二),3.0,必修,否,否,否,機電二乙,75.0,77.0, ,4001,CE04122,19470,001,課堂教學,N
1042,MCAE208,計算機程式,3.0,必修,否,否,否,機電二乙,65.0,68.0, ,4001,CE04122,27200,001,課堂教學,N
1043,COE200,電工學,3.0,必修,否,否,否,機電二乙,75.0,74.0, ,4001,CE04122,54600,001,課堂教學,N
1044,MCAE224,電腦輔助立體繪圖,2.0,必修,否,否,否,機電二乙,65.0,65.0, ,4001,CE04122,57462,001,課堂教學,N
1045,MCAE202,熱力學(二),3.0,必修,否,否,否,機電二乙,70.0,76.0, ,4001,CE04122,68100,001,課堂教學,N
1046,MCAE204,機動學(二),2.0,必修,否,否,否,機電二乙,70.0,70.0, ,4001,CE04122,69503,001,課堂教學,N
1047,MCAE226,虛實整合-3D列印技術,3.0,選修,否,否,否,機電二乙,40.0,40.0,,4001,CE04122,51586,001,課堂教學,Y
1048,ENGL1062,大三英文,2.0,必修,否,否,否,機電三甲,60.0,59.0, ,4001,CE04131,04303,001,課堂教學,N
1049,MCAE5994,專題實作(二),2.0,必修,否,否,否,機電三甲,60.0,59.0, ,4001,CE04131,43096,001,課堂教學,N
1050,MCAE300,熱傳學,3.0,必修,否,否,否,機電三甲,75.0,67.0, ,4001,CE04131,68310,001,課堂教學,N
1051,MCAE304,機械製造(二),2.0,必修,否,否,否,機電三甲,70.0,62.0, ,4001,CE04131,69902,001,課堂教學,N
1052,MCAE302,機械設計(二),3.0,必修,否,否,否,機電三甲,70.0,64.0, ,4001,CE04131,69940,001,課堂教學,N
1053,MCAE306,機械工程實驗(二),1.0,必修,否,否,否,機電三甲,70.0,57.0, ,4001,CE04131,70652,001,課堂教學,N
1060,MCAE3096,田口方法原理與應用,2.0,選修,否,否,否,機電三甲,60.0,20.0,,4001,CE04131,10774,001,課堂教學,N
1061,MCAE496,先進模造技術與實務操作,3.0,選修,否,否,否,機電三甲,24.0,22.0,,4001,CE04131,15020,001,課堂教學,N
1062,MCAE352,非破壞性檢驗,3.0,選修,否,否,是,機電三甲,60.0,28.0,,4001,CE04131,22200,001,課堂教學,N
1063,MCAE342,流體動力學,3.0,選修,否,否,否,機電三甲,60.0,21.0,,4001,CE04131,35400,001,課堂教學,N
1064,MCAE5901,專業實習導論,1.0,選修,否,否,否,機電三甲,60.0,0.0,,4001,CE04131,43078,001,課堂教學,N
1065,MCAE495,智慧自動化技術與實務,3.0,選修,否,否,否,機電三甲,36.0,24.0,,4001,CE04131,48346,001,課堂教學,N
1066,MCAE323,電腦輔助設計,2.0,選修,否,否,否,機電三甲,24.0,23.0,,4001,CE04131,54190,001,課堂教學,N
1067,MCAE446,雷射工程導論,3.0,選修,否,否,否,機電三甲,60.0,56.0,,4001,CE04131,57520,001,課堂教學,N
1068,MCAE3099,精密光學元件製造技術導論,3.0,選修,否,否,否,機電三甲,60.0,52.0,,4001,CE04131,65427,001,課堂教學,N
1069,MCAE368,機電整合,3.0,選修,否,否,否,機電三甲,32.0,18.0,,4001,CE04131,69439,001,課堂教學,N
3525,MCAE3104,加熱系統之設計原理及產業應用,3.0,選修,否,否,否,機電三甲,20.0,12.0,此門課為學碩合班上課，請至機電系辦理選課。,4001,CE04131,08683,001,課堂教學,N
3624,MCAE366,機械量測學,3.0,選修,否,否,否,機電三甲,60.0,54.0,,4001,CE04131,69990,001,課堂教學,N
1054,ENGL1062,大三英文,2.0,必修,否,否,否,機電三乙,60.0,55.0, ,4001,CE04132,04303,001,課堂教學,N
1055,MCAE5994,專題實作(二),2.0,必修,否,否,否,機電三乙,60.0,59.0, ,4001,CE04132,43096,001,課堂教學,N
1056,MCAE300,熱傳學,3.0,必修,否,否,否,機電三乙,70.0,77.0, ,4001,CE04132,68310,001,課堂教學,N
1057,MCAE304,機械製造(二),2.0,必修,否,否,否,機電三乙,70.0,67.0, ,4001,CE04132,69902,001,課堂教學,N
1058,MCAE302,機械設計(二),3.0,必修,否,否,否,機電三乙,70.0,69.0, ,4001,CE04132,69940,001,課堂教學,N
1059,MCAE306,機械工程實驗(二),1.0,必修,否,否,否,機電三乙,70.0,60.0, ,4001,CE04132,70652,001,課堂教學,N
1060,MCAE3096,田口方法原理與應用,2.0,選修,否,否,否,機電三乙,60.0,20.0,,4001,CE04132,10774,001,課堂教學,N
1061,MCAE496,先進模造技術與實務操作,3.0,選修,否,否,否,機電三乙,24.0,22.0,,4001,CE04132,15020,001,課堂教學,N
1062,MCAE352,非破壞性檢驗,3.0,選修,否,否,是,機電三乙,60.0,28.0,,4001,CE04132,22200,001,課堂教學,N
1063,MCAE342,流體動力學,3.0,選修,否,否,否,機電三乙,60.0,21.0,,4001,CE04132,35400,001,課堂教學,N
1064,MCAE5901,專業實習導論,1.0,選修,否,否,否,機電三乙,60.0,0.0,,4001,CE04132,43078,001,課堂教學,N
1065,MCAE495,智慧自動化技術與實務,3.0,選修,否,否,否,機電三乙,36.0,24.0,,4001,CE04132,48346,001,課堂教學,N
1066,MCAE323,電腦輔助設計,2.0,選修,否,否,否,機電三乙,24.0,23.0,,4001,CE04132,54190,001,課堂教學,N
1067,MCAE446,雷射工程導論,3.0,選修,否,否,否,機電三乙,60.0,56.0,,4001,CE04132,57520,001,課堂教學,N
1068,MCAE3099,精密光學元件製造技術導論,3.0,選修,否,否,否,機電三乙,60.0,52.0,,4001,CE04132,65427,001,課堂教學,N
1069,MCAE368,機電整合,3.0,選修,否,否,否,機電三乙,32.0,18.0,,4001,CE04132,69439,001,課堂教學,N
3525,MCAE3104,加熱系統之設計原理及產業應用,3.0,選修,否,否,否,機電三乙,20.0,12.0,此門課為學碩合班上課，請至機電系辦理選課。,4001,CE04132,08683,001,課堂教學,N
3624,MCAE366,機械量測學,3.0,選修,否,否,否,機電三乙,60.0,54.0,,4001,CE04132,69990,001,課堂教學,N
1070,MCAE417,奈米材料與奈米元件概論,3.0,選修,否,否,否,機電四甲,60.0,23.0,,4001,CE04141,17352,001,課堂教學,N
1071,MCAE5906,學期專業實習(三),3.0,選修,否,否,否,機電四甲,60.0,11.0,限機電系大學部學生加選，請至機電系辦理選課。,4001,CE04141,28546,001,課堂教學,N
1072,MCAE5905,學期專業實習(二),3.0,選修,否,否,否,機電四甲,60.0,11.0,限機電系大學部學生加選，請至機電系辦理選課。,4001,CE04141,28547,001,課堂教學,N
1073,MCAE5904,學期專業實習(一),3.0,選修,否,否,否,機電四甲,60.0,11.0,限機電系大學部學生加選，請至機電系辦理選課。,4001,CE04141,28548,001,課堂教學,N
1074,MCAE425,振動學,3.0,選修,否,否,否,機電四甲,36.0,13.0,,4001,CE04141,36450,001,課堂教學,N
1075,MCAE486,新科技之進化與應用(二),2.0,選修,否,否,否,機電四甲,60.0,42.0,,4001,CE04141,45123,001,課堂教學,N
1076,MCAE464,量測與信號處理,3.0,選修,否,否,否,機電四甲,60.0,15.0,,4001,CE04141,50650,001,課堂教學,N
1077,MCAE437,精密機械設計與製造實務,3.0,選修,否,否,否,機電四甲,60.0,26.0,,4001,CE04141,65312,001,課堂教學,N
1078,MCAE5912,學年專業實習(六),3.0,選修,否,否,否,機電四甲,60.0,1.0,限機電系大學部學生加選，請至機電系辦理選課。,4001,CE04141,67924,001,課堂教學,N
1079,MCAE5910,學年專業實習(四),3.0,選修,否,否,否,機電四甲,60.0,1.0,限機電系大學部學生加選，請至機電系辦理選課。,4001,CE04141,67928,001,課堂教學,N
1080,MCAE5911,學年專業實習(五),3.0,選修,否,否,否,機電四甲,60.0,1.0,限機電系大學部學生加選，請至機電系辦理選課。,4001,CE04141,67929,001,課堂教學,N
