scr_selcode,sub_name,scr_credit,scj_scr_mso,cls_name,scr_period,scr_precnt,scr_acptcnt,scr_remarks
4029,能源與環境政策,4,選修,通識－統合(M),(三)00     未排教室 Tracy Harbin,60,0,HETU專案2023年暑一期課程
4030,人口與社會,4,選修,通識－統合(M),(一)00     未排教室 Joshua Kane,60,0,HETU專案2023年暑一期課程
4031,現代心理學的演變,4,選修,通識－統合(M),(一)00     未排教室 Emese Vitalis,60,0,HETU專案2023年暑一期課程
4032,環境科學導論,4,選修,通識－統合(M),(五)00     未排教室 Frederick Glynn Hayes,60,0,HETU專案2023年暑一期課程
4033,貨幣銀行學概述,4,選修,通識－統合(M),(五)00     未排教室 Song Wang,60,0,HETU專案2023年暑一期課程
4034,總體經濟學概述,4,選修,通識－統合(M),(五)00     未排教室 Zeyu Zhang,60,0,HETU專案2023年暑一期課程
4035,國際商務與管理,4,選修,通識－統合(M),(二)00     未排教室 Seth David Selke,60,0,HETU專案2023年暑一期課程
4036,技術寫作,4,選修,通識－統合(M),(二)00     未排教室 Dana Badger Simpson,60,0,HETU專案2023年暑一期課程
4037,跨文化交際,4,選修,通識－統合(M),(二)00     未排教室 Annum Karim,60,0,HETU專案2023年暑一期課程
4038,非裔美國人史,4,選修,通識－統合(M),(四)00     未排教室 Neil Vaz,60,0,HETU專案2023年暑一期課程
4039,氣候學概論,4,選修,通識－統合(M),(三)00     未排教室 Zifei Liu,60,0,HETU專案2023年暑一期課程
4040,1945 年以後的德國,4,選修,通識－統合(M),(五)00     未排教室 David Morton,60,0,HETU專案2023年暑一期課程
4041,近現代哲學,4,選修,通識－統合(M),(三)00     未排教室 Tiffany Lynn Traylor,60,0,HETU專案2023年暑一期課程
4042,離散數學入門,4,選修,通識－統合(M),(三)00     未排教室 Bernard Brooks,60,0,HETU專案2023年暑一期課程
4043,大眾傳媒概況,4,選修,通識－統合(M),(三)00     未排教室 Vogel Richard David,60,0,HETU專案2023年暑一期課程
4044,商業倫理學概述,4,選修,通識－統合(M),(四)00     未排教室 Dogan Talha Harcar,60,0,HETU專案2023年暑一期課程
4045,基礎化學概述（一）,4,選修,通識－統合(M),(六)00     未排教室 Jennifer D'Antonio,60,0,HETU專案2023年暑一期課程
4046,歐洲歷史、政治及文化,4,選修,通識－統合(M),(日)00     未排教室 David Morton,60,0,HETU專案2023年暑一期課程
4047,近現代哲學,4,選修,通識－統合(M),(日)00     未排教室 Tiffany Lynn Traylor,60,0,HETU專案2023年暑一期課程
4048,大眾傳媒概況,4,選修,通識－統合(M),(日)00     未排教室 Vogel Richard David,60,0,HETU專案2023年暑一期課程
2955,人生哲學,2,選修,通識－人文(夜)(H),(一)11-12 商208 經觀榮,70,68,是否列入畢業學分請至各系確認。
2956,台灣文學,2,選修,通識－人文(夜)(H),(二)11-12 商201 金尚浩,80,79,是否列入畢業學分請至各系確認。
2957,批判思考,2,選修,通識－人文(夜)(H),(一)11-12 商107 林永崇,79,38,是否列入畢業學分請至各系確認。
2958,旅遊與多元學習,2,選修,通識－人文(夜)(H),(一)11-12 忠203 薛珍華,40,40,This course is taught in English. Please check with each department whether it is included in the graduation credits.
2959,電影與性別,2,選修,通識－人文(夜)(H),(三)11-12 商203 陳如音,79,65,是否列入畢業學分請至各系確認。
2960,電影與性別,2,選修,通識－人文(夜)(H),(四)13-14 商202 余國強,70,58,是否列入畢業學分請至各系確認。
2961,漢字與文化,2,選修,通識－人文(夜)(H),(一)11-12 商206 林啓新,65,61,是否列入畢業學分請至各系確認。
2962,越南地理與文化,2,選修,通識－人文(夜)(H),(三)11-12 商207 張哲挺,72,68,是否列入畢業學分請至各系確認。
2963,生命科學,2,選修,通識－自然(夜)(N),(三)11-12 行政二館205(視聽室) 葉怡巖,185,181,是否列入畢業學分請至各系確認。
2964,生態環境保育,2,選修,通識－自然(夜)(N),(一)13-14 資電104 施漢鵬,75,67,是否列入畢業學分請至各系確認。
2965,生態環境保育,2,選修,通識－自然(夜)(N),(一)11-12 資電104 施漢鵬,75,74,是否列入畢業學分請至各系確認。
2966,生物學與生物倫理,2,選修,通識－自然(夜)(N),(三)13-14 資電306 張智翔,76,63,是否列入畢業學分請至各系確認。
2967,材料與生活,2,選修,通識－自然(夜)(N),(四)11-12 忠210 徐兆稹,60,58,是否列入畢業學分請至各系確認。
2968,生活中的工程與科技,2,選修,通識－自然(夜)(N),(三)11-12 商208 許聖富,50,44,是否列入畢業學分請至各系確認。
2969,智慧城市與行動應用,2,選修,通識－自然(夜)(N),(一)11-12 行208(電腦實習室) 林哲暉,30,27,是否列入畢業學分請至各系確認。
2970,智慧城市無所不在的監測系統,2,選修,通識－自然(夜)(N),(四)11-12 土302(電腦實習室) 林卓毅,60,59,是否列入畢業學分請至各系確認。
2971,智慧城市實務分析,2,選修,通識－自然(夜)(N),(一)09-10 紀302(電腦實習室) 劉若瑜,40,39,是否列入畢業學分請至各系確認。
2972,氣候變遷對臺灣之衝擊,2,選修,通識－自然(夜)(N),(四)13-14 資電104 黃志偉,70,63,是否列入畢業學分請至各系確認。
2973,毛小孩健康用品之開發,2,選修,通識－自然(夜)(N),(二)11-12 商205 田孟崇,60,58,是否列入畢業學分請至各系確認。
2974,毛小孩健康用品之開發,2,選修,通識－自然(夜)(N),(二)13-14 商205 田孟崇,60,58,是否列入畢業學分請至各系確認。
2975,個人資料保護法,2,選修,通識－社會(夜)(S),(四)13-14 商303 劉南英,76,73,是否列入畢業學分請至各系確認。
2976,智慧財產之保護與實務,2,選修,通識－社會(夜)(S),(二)11-12 科航202 余賢東,85,85,是否列入畢業學分請至各系確認。
2977,智慧財產之保護與實務,2,選修,通識－社會(夜)(S),(四)11-12 商405 蔡宜宏,79,74,是否列入畢業學分請至各系確認。
2978,社會學與生活體驗,2,選修,通識－社會(夜)(S),(三)11-12 資電306 蔡振志,78,73,是否列入畢業學分請至各系確認。
2979,民法實用,2,選修,通識－社會(夜)(S),(二)11-12 商402 蔡宜宏,79,75,是否列入畢業學分請至各系確認。
2980,法律與社會,2,選修,通識－社會(夜)(S),(五)11-12 商406 施馭昊,73,68,是否列入畢業學分請至各系確認。
2981,社會形象創造專題,2,選修,通識－社會(夜)(S),(一)11-12 商202 黃千容,60,58,是否列入畢業學分請至各系確認。
2982,消費者保護法,2,選修,通識－社會(夜)(S),(四)11-12 商303 劉南英,76,70,是否列入畢業學分請至各系確認。
2983,策略理論與中國崛起,2,選修,通識－社會(夜)(S),(二)11-12 商303 白兆偉,76,75,是否列入畢業學分請至各系確認。
2984,智慧城市競爭力,2,選修,通識－社會(夜)(S),(四)11-12 紀302(電腦實習室) 賴玉真,50,43,是否列入畢業學分請至各系確認。
2985,現代韓國社會和文化,2,選修,通識－社會(夜)(S),(二)13-14 商201 金尚浩,80,79,是否列入畢業學分請至各系確認。
2986,行政領導與人脈經營,2,選修,通識－社會(夜)(S),(四)11-12 忠203 洪浚逢,60,53,是否列入畢業學分請至各系確認。
2987,行政領導與人脈經營,2,選修,通識－社會(夜)(S),(三)11-12 商302 楊國聰,73,71,是否列入畢業學分請至各系確認。
2988,性別平等與親密關係,2,選修,通識－社會(夜)(S),(一)11-12 商203 陳如音,79,68,是否列入畢業學分請至各系確認。
2989,戀愛、家庭與性別平等,2,選修,通識－社會(夜)(S),(一)13-14 商203 陳如音,79,68,是否列入畢業學分請至各系確認。
2990,人權意識,2,選修,通識－社會(夜)(S),(二)11-12 商406 姚德輝,73,72,是否列入畢業學分請至各系確認。
2991,人權意識,2,選修,通識－社會(夜)(S),(二)13-14 商406 姚德輝,73,41,是否列入畢業學分請至各系確認。
2992,教育與社會,2,選修,通識－社會(夜)(S),(二)11-12 商203 楊儒晟,73,61,是否列入畢業學分請至各系確認。
2993,空間資訊與智慧生活,2,選修,通識－統合(夜)(M),(四)11-12 商202 陳思云,60,49,是否列入畢業學分請至各系確認。
2994,專案管理基礎知識培養,2,選修,通識－統合(夜)(M),(一)11-12 商103 王世傳,60,59,是否列入畢業學分請至各系確認。
2996,從空間看世界,2,選修,通識－統合(夜)(M),(一)11-12 商201 簡嘉良,60,60,是否列入畢業學分請至各系確認。
2999,智慧的天空之眼,2,選修,通識－統合(夜)(M),(一)09-10 紀303(電腦實習室) 郭靜怡,30,29,是否列入畢業學分請至各系確認。
3000,智慧定位-衛星導航,2,選修,通識－統合(夜)(M),(一)11-12 商207 陳建甫,60,57,是否列入畢業學分請至各系確認。
3001,智慧定位-衛星導航,2,選修,通識－統合(夜)(M),(一)13-14 商207 陳建甫,60,58,是否列入畢業學分請至各系確認。
3002,創業入門,2,選修,通識－統合(夜)(M),(二)11-12 行211 徐光明,40,40,是否列入畢業學分請至各系確認。
3003,3D動畫虛擬實境實作(II),2,選修,通識－統合(夜)(M),(一)11-12 忠611(電腦實習室) 施丞彥,40,38,是否列入畢業學分請至各系確認。
3004,數位行銷輕鬆學,2,選修,通識－統合(夜)(M),(五)11-12 商403 紀東昀,73,62,是否列入畢業學分請至各系確認。
3005,數位行銷輕鬆學,2,選修,通識－統合(夜)(M),(五)13-14 商403 紀東昀,73,47,是否列入畢業學分請至各系確認。
3006,職涯發展磨課師,2,選修,通識－統合(夜)(M),(二)11-12 商207 郭廸賢,35,21,是否列入畢業學分請至各系確認。
3007,彩排與公演（二）,2,選修,通識－統合(夜)(M),(一)12-13 人1003(通識沙龍) 陳思照,60,24,是否列入畢業學分請至各系確認。
3008,音樂劇演唱與表演技巧,2,選修,通識－統合(夜)(M),(一)10-11 人1003(通識沙龍) 陳思照,40,33,是否列入畢業學分請至各系確認。
3009,視覺設計的方法與技巧,2,選修,通識－統合(夜)(M),(五)11-12 行政二館105-電腦實習室 謝欣錦,50,48,是否列入畢業學分請至各系確認。
3010,地方創生-目標管理與行銷組織,2,選修,通識－統合(夜)(M),(二)11-12 商202 蕭娜娜,73,71,是否列入畢業學分請至各系確認。
3011,體育－適應體育班,1,必修,體育選項適應體育班,(二)10-11 體館502(飛鏢教室) 王亭文,60,10,"修習適應體育班者,應以身體障礙不適參加劇烈運動者為限,並應檢附該學期區域或同等級以上醫院證明."
3012,體育－適應體育班,1,必修,體育選項適應體育班,(三)10-11 體館305(TRX教室) 黃嘉君,60,11,"修習適應體育班者,應以身體障礙不適參加劇烈運動者為限,並應檢附該學期區域或同等級以上醫院證明."
3013,體育—墊上核心,1,選修,體育選修,(三)06-07 體館201(第一舞蹈室) 溫麗香,50,42,上課地點：體育館二樓第一舞蹈室，謝絕旁聽生。
3014,體育—墊上核心,1,選修,體育選修,(三)08-09 體館201(第一舞蹈室) 溫麗香,50,46,上課地點：體育館二樓第二舞蹈室，謝絕旁聽生。
3015,體育—防身術,1,選修,體育選修,(二)06-07 體館201(第一舞蹈室) 陳培季,50,47,上課地點：體育館二樓第一舞蹈室，謝絕旁聽生。
3016,體育—防身術,1,選修,體育選修,(二)08-09 體館201(第一舞蹈室) 陳培季,50,40,上課地點：體育館二樓第一舞蹈室，謝絕旁聽生。
3017,體育－迷你網球,1,選修,體育選修,(四)03-04 體館301(主球場) 吳子揚,60,54,上課地點：體育館三樓主球場，謝絕旁聽生
3018,體育－迷你網球,1,選修,體育選修,(四)06-07 體館301(主球場) 吳子揚,60,55,上課地點：體育館三樓主球場，謝絕旁聽生
3019,體育－飛鏢,1,選修,體育選修,(四)06-07 體館502(飛鏢教室) 王亭文,45,43,上課地點：體育館五樓飛鏢教室，謝絕旁聽生。
3020,體育－匹克球,1,選修,體育選修,(二)08-09 體館301(主球場) 王亭文,54,46,上課地點：體育館三樓球場，拒絕旁聽生。
3021,體育－彼拉提斯,1,選修,體育選修,(三)03-04 體館202(第二舞蹈室) 劉品坊,50,45,上課地點：體育館二樓第二舞蹈室，謝絕旁聽生。
3022,體育－彼拉提斯,1,選修,體育選修,(三)06-07 體館202(第二舞蹈室) 劉品坊,50,39,上課地點：體育館二樓第一舞蹈室，謝絕旁聽生。
3023,體育－健康與塑身,1,選修,體育選修,(二)03-04 體館403(第二健身室) 黃嘉笙,50,44,上課地點：體育館四樓第二健身室，上課需換穿乾淨運動鞋，謝絕旁聽生。
3024,體育－健康與塑身,1,選修,體育選修,(四)06-07 體館403(第二健身室) 汪在莒,50,45,上課地點：體育館四樓第二健身室，上課需換穿乾淨運動鞋，謝絕旁聽生。
